=== DANH SÁCH NHÂN VIÊN ===
E001 | Nguyễn Văn Thẩm | Khoa CNTT | Giảng viên | 0912345678 | nvt@tlu.edu.vn
E002 | Trương Xuân Nam | Khoa CNTT | Giảng viên | 0912345678 | txn@tlu.edu.vn
E003 | Kiều Tuấn Dũng | Khoa CNTT | Giảng viên | 0912345678 | ktd@tlu.edu.vn
E004 | Lê Văn Phương | Khoa Kinh tế | Trưởng khoa | 0987654321 | lvp@tlu.edu.vn
E005 | Trần Thị Tú Anh | Khoa Luật | Giảng viên | 0923456789 | tta@tlu.edu.vn
E006 | Nguyễn Thị Hồng | Khoa Kinh tế | Giảng viên | 0934567890 | nth@tlu.edu.vn
E007 | Phạm Văn Dũng | Khoa CNTT | Phó trưởng khoa | 0976543210 | pvd@tlu.edu.vn
E008 | Hoàng Minh An | Khoa Kiểm toán | Giảng viên | 0911111111 | hma@tlu.edu.vn
E009 | Lê Thị Thanh | Khoa Ngữ Anh | Trưởng khoa | 0966666666 | ltt@tlu.edu.vn
E010 | Đỗ Văn Tuấn | Khoa CNTT | Trưởng khoa | 0955555555 | dvt@tlu.edu.vn
E011 | Vũ Thị Mai | Thư viện | Thủ thư | 0981234567 | vtm@tlu.edu.vn
E012 | Trần Hữu Phước | Trung tâm Đào tạo Quốc tế | Giám đốc | 0979876543 | thp@tlu.edu.vn
E013 | Ngô Bảo Châu | Viện Thủy Công | Nghiên cứu viên | 0965432109 | nbc@tlu.edu.vn
E014 | Lương Hoàng Anh | Trung tâm Tư vấn | Cố vấn | 0943210987 | lha@tlu.edu.vn

=== DANH SÁCH ĐƠN VỊ ===
U001 | Khoa CNTT | 0123456789 | Tầng 5, Nhà C1 | SubUnits: [Bộ môn Hệ thống thông tin, Bộ môn Khoa học máy tính, Bộ môn Mạng máy tính] | Employees: [E001, E002, E003, E007, E010]
U002 | Khoa Kinh tế | 0987654321 | Tầng 3, Nhà C2 | SubUnits: [Bộ môn Kinh tế quốc tế, Bộ môn Quản trị kinh doanh, Bộ môn Tài chính] | Employees: [E004, E006]
U003 | Khoa Ngữ Anh | 0123456789 | Tầng 5, Nhà C1 | SubUnits: [Bộ môn Ngôn ngữ Anh, Bộ môn Biên phiên dịch, Bộ môn Giảng dạy tiếng Anh] | Employees: [E009]
U004 | Khoa Luật | 0123456789 | Tầng 5, Nhà C1 | SubUnits: [Bộ môn Luật dân sự, Bộ môn Luật hình sự, Bộ môn Luật quốc tế] | Employees: [E005]
U005 | Khoa Kiểm toán | 0123456789 | Tầng 5, Nhà C1 | SubUnits: [Bộ môn Kiểm toán nội bộ, Bộ môn Kiểm toán tài chính, Bộ môn Phân tích dữ liệu kế toán] | Employees: [E008]
U006 | Thư viện | 0123456789 | Tầng 1, Nhà A | SubUnits: [Phòng đọc sách, Kho tài liệu, Dịch vụ thư viện] | Employees: [E011]
U007 | Trung tâm Đào tạo Quốc tế | 0123456789 | Tầng 2, Nhà B | SubUnits: [Chương trình liên kết quốc tế, Hợp tác đào tạo] | Employees: [E012]
U008 | Viện Thủy Công | 0123456789 | Tầng 3, Nhà D | SubUnits: [Phòng nghiên cứu Thủy lợi, Phòng nghiên cứu Môi trường nước] | Employees: [E013]
U009 | Trung tâm Tư vấn | 0123456789 | Tầng 4, Nhà E | SubUnits: [Tư vấn hướng nghiệp, Tư vấn pháp lý, Tư vấn doanh nghiệp] | Employees: [E014]
